"date_announced","test","positive","deaths","d_m"
NA,0,0,0,NA
NA,0,0,0,NA
NA,1,0,0,NA
NA,0,0,0,NA
NA,4,0,0,NA
NA,0,0,0,NA
NA,2,0,0,NA
NA,0,0,0,NA
NA,0,0,0,NA
NA,1,0,0,NA
NA,6,0,0,NA
NA,0,0,0,NA
NA,13,0,0,NA
NA,0,0,0,NA
NA,2,0,0,NA
NA,0,0,0,NA
NA,0,0,0,NA
NA,0,0,0,NA
NA,0,0,0,NA
NA,0,0,0,NA
NA,1,0,0,NA
NA,0,0,0,NA
NA,0,0,0,NA
NA,1,0,0,NA
NA,0,0,0,NA
NA,2,0,0,NA
NA,2,0,0,NA
NA,1,0,0,NA
NA,0,0,0,NA
NA,0,0,0,NA
NA,4,0,0,NA
NA,5,0,0,NA
NA,2,0,0,NA
NA,4,0,0,NA
NA,13,0,0,NA
NA,6,0,0,NA
NA,7,0,0,NA
NA,3,0,0,NA
NA,6,0,0,NA
NA,5,0,0,NA
NA,12,0,0,NA
NA,9,0,0,NA
NA,5,0,0,NA
NA,7,0,0,NA
NA,5,0,0,NA
NA,8,0,0,NA
NA,13,0,0,NA
NA,17,0,0,NA
NA,11,0,0,NA
NA,10,0,0,NA
NA,14,2,0,NA
NA,2,0,0,NA
NA,41,1,0,NA
NA,48,2,0,NA
NA,62,3,0,NA
NA,44,0,0,NA
NA,82,2,0,NA
NA,55,4,0,NA
NA,67,1,1,NA
NA,56,1,0,NA
NA,62,4,0,NA
NA,55,0,0,NA
NA,84,1,0,NA
NA,55,0,0,NA
NA,46,1,0,NA
NA,32,0,0,NA
NA,33,0,2,NA
NA,92,1,0,NA
NA,44,5,0,NA
NA,78,0,0,NA
NA,223,3,0,NA
NA,285,10,1,NA
NA,81,0,0,NA
NA,93,0,0,NA
NA,136,22,0,NA
NA,381,0,0,NA
NA,400,11,0,NA
NA,113,11,0,NA
NA,269,0,0,NA
NA,378,9,0,NA
NA,272,13,1,NA
NA,369,4,0,NA
NA,427,8,0,NA
NA,279,2,0,NA
NA,252,6,0,NA
NA,265,12,0,NA
NA,350,5,0,NA
NA,426,2,0,NA
NA,347,0,0,NA
NA,345,0,0,NA
NA,413,4,0,NA
NA,294,0,1,NA
NA,237,1,0,NA
NA,196,0,0,NA
NA,378,0,0,NA
NA,252,4,0,NA
NA,271,6,0,NA
NA,655,0,0,NA
NA,406,1,0,NA
NA,247,14,0,NA
NA,582,1,0,NA
NA,453,1,0,NA
NA,284,2,0,NA
NA,353,0,0,NA
NA,275,0,0,NA
NA,440,1,0,NA
NA,523,0,0,NA
NA,694,1,0,NA
NA,417,0,0,NA
NA,576,5,0,NA
NA,597,4,0,NA
NA,718,2,0,NA
NA,722,6,0,NA
NA,627,0,0,NA
NA,740,2,0,NA
NA,781,0,0,NA
NA,914,0,0,NA
NA,777,2,0,NA
NA,1312,3,0,NA
NA,1343,0,0,NA
NA,1211,0,0,NA
NA,1214,18,0,NA
NA,1338,0,0,NA
NA,1560,4,0,NA
NA,1246,0,0,NA
NA,1862,5,0,NA
NA,1905,1,0,NA
NA,1936,2,0,NA
NA,1872,0,0,NA
NA,1934,4,0,NA
NA,2097,3,0,NA
NA,1556,1,0,NA
NA,2054,2,0,NA
NA,1613,3,0,NA
NA,2196,12,0,NA
NA,1804,0,0,NA
NA,2047,0,0,NA
NA,1994,1,0,NA
NA,2091,0,0,NA
NA,2363,0,0,NA
NA,2096,1,0,NA
NA,2422,23,0,NA
NA,2152,0,0,NA
NA,2242,1,0,NA
NA,1570,3,0,NA
NA,1789,1,0,NA
NA,1997,1,0,NA
NA,2330,1,0,NA
NA,2018,0,0,NA
NA,1722,0,0,NA
NA,1965,3,0,NA
NA,1767,3,0,NA
NA,1741,0,0,NA
NA,1708,0,0,NA
NA,1340,5,0,NA
NA,1753,0,0,NA
NA,1555,2,0,NA
NA,1816,7,0,NA
NA,958,0,0,NA
NA,1654,3,0,NA
NA,1459,0,0,NA
NA,1688,2,0,NA
NA,1829,3,0,NA
NA,1816,5,0,NA
NA,1895,4,0,NA
NA,1099,1,0,NA
NA,1143,5,0,NA
NA,1736,1,0,NA
NA,1429,0,0,NA
NA,1874,2,0,NA
NA,1724,0,0,NA
NA,2066,2,0,NA
NA,1419,0,0,NA
NA,1215,0,0,NA
NA,785,0,0,NA
NA,1147,2,0,NA
NA,1276,0,0,NA
NA,1471,3,0,NA
NA,1431,3,0,NA
NA,1121,1,0,NA
NA,1183,0,0,NA
NA,1184,1,0,NA
NA,2217,2,0,NA
NA,847,0,0,NA
NA,881,0,0,NA
NA,915,0,0,NA
NA,1232,0,0,NA
NA,1314,2,0,NA
NA,748,1,0,NA
NA,1562,1,0,NA
NA,1308,2,0,NA
NA,1335,0,0,NA
NA,1291,0,0,NA
NA,1063,1,0,NA
NA,1167,0,0,NA
NA,1145,0,0,NA
NA,2021,1,0,NA
NA,1908,8,0,NA
NA,1908,5,0,NA
NA,1610,0,0,NA
NA,973,1,0,NA
NA,1714,1,0,NA
NA,1993,3,0,NA
NA,1664,17,0,NA
NA,1611,13,0,NA
NA,1609,26,0,NA
NA,1290,9,0,NA
NA,1092,19,0,NA
NA,1786,11,0,NA
NA,2300,100,0,NA
NA,2296,12,0,NA
NA,1976,42,0,NA
NA,2535,28,0,NA
NA,2054,93,0,NA
NA,2425,38,0,NA
NA,2152,100,0,NA
NA,2441,51,0,NA
NA,2552,120,0,NA
NA,2594,75,1,NA
NA,3175,83,0,NA
NA,3165,103,0,NA
NA,3007,145,1,NA
NA,2697,146,2,NA
NA,3317,197,1,NA
NA,3415,201,2,NA
NA,3417,257,1,NA
NA,4109,180,4,NA
NA,4120,351,5,NA
NA,3635,219,7,NA
NA,4458,284,13,NA
NA,4597,337,7,NA
NA,4555,259,11,NA
NA,5284,404,10,NA
NA,5252,322,17,NA
NA,5298,642,12,NA
NA,4892,542,10,NA
NA,5436,665,15,NA
NA,5582,488,17,NA
NA,5872,869,19,NA
NA,4725,687,25,NA
NA,3360,597,21,NA
NA,5816,880,14,NA
NA,5272,743,5,NA
NA,5597,896,30,NA
NA,5962,797,28,NA
NA,6262,946,26,NA
NA,5352,1010,11,NA
NA,6895,1142,32,NA
NA,8157,975,18,NA
NA,8107,1294,41,NA
NA,8285,987,32,NA
NA,10074,1252,27,NA
NA,12322,1400,39,NA
NA,12268,1012,25,NA
NA,15301,1461,31,NA
NA,16312,2158,32,NA
NA,14809,1906,48,NA
NA,14707,1344,18,NA
NA,13258,1123,29,NA
NA,9656,888,39,NA
NA,12975,1026,33,NA
NA,13510,1138,34,NA
NA,19736,1387,39,NA
